Stud1-Axial,Stud1-Load,Stud2-Axial,Stud2-Load,Stud3-Axial,Stud3-Load,Stud4-Axial,Stud4-Load
0.355230501,1.035532087,0.149268786,0.296216596,0.518283525,0.140573885,2.552155458,1.158730555
0.544028739,1.287955358,0.338067025,0.449766417,0.784317407,0.316260838,2.740953696,1.395942526
0.732826978,1.540378629,0.526865263,0.709795338,0.973115645,0.424176759,2.929751935,1.511464097
0.921625216,1.72435105,0.715663502,0.886162108,1.161913884,0.60814918,3.118550173,1.718253468
1.110423455,1.862689571,0.90446174,1.123374079,1.350712122,0.746487701,3.307348412,1.985888039
1.299221693,2.084690242,1.093259979,1.3225578,1.53951036,0.839192321,3.49614665,2.21549436
1.488019932,2.337113513,1.282058217,1.491318921,1.728308599,1.023164742,3.684944889,2.285382031
1.613885424,2.421733543,1.470856456,1.720925242,1.917106837,1.260376713,3.873743127,2.537805302
1.882779885,2.826879375,1.659654694,2.003771113,2.105905076,1.345475684,4.062541365,2.828256823
2.071578123,3.094513946,1.848452932,2.172532234,2.294703314,1.521842455,4.251339604,3.179553544
2.260376362,3.575106717,2.037251171,2.310870755,2.483501553,1.774265726,4.440137842,3.614512415
2.4491746,4.215418138,2.226049409,2.646956176,2.672299791,2.049505947,4.628936081,4.216795586
2.637972839,4.91657476,2.414847648,2.922196397,2.86109803,2.263900968,4.817734319,4.902740908
2.826771077,5.648153981,2.603645886,3.212647918,3.049896268,2.326182988,5.006532558,5.436573229
3.015569316,6.607902703,2.792444125,3.556338989,3.238694507,2.66226841,5.195330796,6.2366033
3.204367554,7.841454825,2.981242363,4.01411481,3.427492745,2.929902981,5.384129035,7.378887622
3.393165793,9.135852147,3.170040602,4.517524531,3.616290984,3.197537551,5.572927273,8.597228444
3.581964031,10.44546077,3.35883884,4.929666452,3.805089222,3.533622973,5.761725512,9.648244966
3.77076227,11.70182984,3.547637079,5.258146223,3.993887461,3.968581844,5.95052375,10.64602194
3.959560508,12.92777631,3.736435317,5.822401145,4.182685699,4.555653715,6.139321989,11.75788366
4.148358747,14.22217364,3.925233556,6.622431216,4.371483937,5.074274736,6.328120227,12.97622448
4.337156985,15.61544441,4.114031794,7.544151688,4.560282176,5.646135308,6.516918466,14.0880862
4.525955224,17.09237733,4.302830033,8.46587216,4.749080414,6.392925829,6.705716704,15.40530048
4.714753462,18.683395,4.491628271,9.364775681,4.937878653,7.443942351,6.894514942,16.8518108
4.9035517,20.20596182,4.68042651,10.1572001,5.126676891,8.555804073,7.083313181,18.42761717
5.092349939,21.54599305,4.869224748,11.06370927,5.31547513,9.622031895,7.272111419,19.78285969
5.281148177,23.04574292,5.058022986,11.98542975,5.504273368,10.63502017,7.460909658,21.23697566
5.469946416,24.70521144,5.246821225,13.00602367,5.693071607,11.73927624,7.649707896,22.86602159
5.658744654,26.54721556,5.435619463,14.01140629,5.881869845,12.97282836,7.838506135,24.43422231
5.847542893,28.30555754,5.624417702,15.07763411,6.070668084,14.06187313,8.027304373,26.20777558
6.036341131,29.88136391,5.81321594,16.18949583,6.259466322,15.21936875,8.216102612,27.76837065
6.22513937,31.62449458,6.002014179,17.33178016,6.448264561,16.42249828,8.40490085,28.99431713
6.413937608,33.20030095,6.190812417,18.64899443,6.637062799,17.6256278,8.576535612,30.78041586
6.602735847,34.95864293,6.379610656,19.97381435,6.825861038,18.98087032,8.748170375,32.43468333
6.791534085,36.5496606,6.568408894,21.36708512,7.014659276,20.28287329,8.936968613,33.8279541
6.963168847,38.437168,6.757207133,22.89725759,7.203457515,21.76741186,9.125766852,35.45700003
7.13480361,40.07368895,6.946005371,24.35897922,7.392255753,23.23673914,9.31456509,36.78181995
7.323601848,41.66470663,7.13480361,26.12492684,7.581053991,24.79733421,9.503363329,38.51734497
7.512400087,43.12642825,7.323601848,27.72355016,7.76985223,26.54807053,9.692161567,39.69765754
7.684034849,44.61506156,7.512400087,29.27653958,7.958650468,28.07063735,9.880959806,41.14416786
7.855669611,46.1484837,7.701198325,30.99685331,8.147448707,29.39545728,10.06975804,42.52983299
8.04446785,47.51893752,7.889996563,32.83885743,8.336246945,31.0397145,10.25855628,43.55042691
8.233266088,48.95023655,8.078794802,34.68086155,8.525045184,32.69918302,10.44735452,44.87524683
8.422064326,50.36632427,8.26759304,36.28709052,8.713843422,34.13048204,10.63615276,46.1620385
8.610862565,51.59227074,8.456391279,38.0302212,8.902641661,35.74431667,10.824951,47.34235107
8.799660803,52.93230196,8.645189517,39.85701402,9.091439899,37.31251739,11.01374924,48.49224105
8.988459042,54.31036144,8.833987756,41.70662379,9.280238138,38.82747856,11.20254747,49.82466662
9.17725728,55.42222316,9.022785994,43.21397931,9.469036376,40.29680583,11.39134571,50.86807749
9.366055519,56.65577528,9.211584233,44.65288399,9.657834615,41.9943026,11.58014395,51.99515051
9.554853757,57.8893274,9.400382471,46.30474686,9.846632853,43.11376998,11.76894219,53.18306873
9.743651996,59.19133037,9.58918071,47.78167978,10.03543109,44.23323735,11.95774043,54.48507171
9.932450234,60.6378407,9.777978948,49.40312005,10.22422933,45.83946632,12.14653867,55.43721478
10.12124847,61.74209677,9.966777187,50.87244733,10.41302757,47.28597664,12.33533691,56.54147085
10.31004671,63.18100144,10.15557543,52.13642205,10.60182581,48.48150052,12.52413514,57.82826252
10.49884495,64.17877841,10.34437366,53.65138322,10.79062405,49.96603909,12.71293338,58.99336379
10.68764319,65.43514748,10.5331719,55.12071049,10.97942228,51.18437991,12.90173162,60.24973287
10.87644143,66.63067136,10.72197014,56.24017786,11.16822052,52.45596028,13.09052986,61.30835504
11.06523967,67.80337828,10.91076838,57.82358989,11.35701876,53.7959915,13.2793281,62.40500546
11.2540379,69.0065078,11.09956662,59.35376236,11.545817,55.14362838,13.46812634,63.63855758
11.44283614,70.30090512,11.28836486,60.68618793,11.73461524,56.17182795,13.65692457,64.3397142
11.63163438,71.51924594,11.47716309,61.87410615,11.92341348,57.58031002,13.84572281,65.83185843
11.82043262,72.53983987,11.66596133,63.43470123,12.11221171,58.58569264,14.03452105,66.8752693
12.00923086,73.58325074,11.85475957,64.74430985,12.30100995,59.95614646,14.22331929,67.83501802
12.1980291,74.91567631,12.04355781,66.39617272,12.48980819,61.04519124,14.41211753,68.98490799
12.38682733,75.86781938,12.23235605,67.73620394,12.67860643,62.30916596,14.60091577,70.31733356
12.57562557,77.0861602,12.42115429,68.93933346,12.86740467,63.51229548,14.78971401,71.23905403
12.76442381,78.19041627,12.60995253,70.47711159,13.05620291,64.4720442,14.97851224,72.44218356
12.95322205,79.08171415,12.79875076,71.69545241,13.24500115,65.69038502,15.16731048,73.41714358
,,12.987549,72.80731413,13.43379938,66.7337959,15.35610872,74.6050618
,,13.17634724,74.2614301,13.62259762,67.92171412,15.54490696,75.64847267
,,13.36514548,75.54061612,13.81139586,69.13244929,15.7337052,76.85160219
,,13.55394372,76.74374565,14.0001941,70.48008616,15.92250344,78.11557692
,,13.74274196,78.03814297,14.18899234,71.41701793,16.0941382,79.11998385
,,13.92295846,79.11647452,14.37779058,72.5516966,,
,,,,14.56658881,73.44299448,,
,,,,14.75538705,74.77542005,,
,,,,14.94418529,75.79601397,,
,,,,15.13298353,76.86224179,,
,,,,15.32178177,77.75353966,,
,,,,15.51058001,78.87300704,,
,,,,15.63930608,79.24666354,,
