Extension,Load,Tensile strain,Tensile stress,Strain 1,Tensile extension,Offset strain,Tensile stress offset
,,0,0,,,0.001937,0
0.00719,103.81453,0,11.59291,0,-0.00001,0.002,11.59291
0.00744,104.56255,0,11.67644,0,0.00004,0.002,11.67644
0.00956,117.28703,0.00001,13.09738,0.00001,0.00036,0.00201,13.09738
0.0125,150.13152,0.00002,16.7651,0.00002,0.00119,0.00202,16.7651
0.01375,166.4184,0.00003,18.58385,0.00003,0.00159,0.00203,18.58385
0.01531,179.26428,0.00004,20.01834,0.00004,0.00194,0.00204,20.01834
0.01731,200.68872,0.00005,22.4108,0.00005,0.0025,0.00205,22.4108
0.019,218.02711,0.00006,24.34697,0.00006,0.00294,0.00206,24.34697
0.02031,230.73932,0.00007,25.76653,0.00007,0.00328,0.00207,25.76653
0.02244,250.37421,0.00008,27.95915,0.00008,0.0038,0.00208,27.95915
0.02425,270.65479,0.00009,30.22387,0.00009,0.00432,0.00209,30.22387
0.0255,284.66574,0.00009,31.78847,0.00009,0.00469,0.00209,31.78847
0.02694,296.81964,0.0001,33.14569,0.0001,0.00504,0.0021,33.14569
0.029,318.91144,0.00011,35.61267,0.00011,0.00564,0.00211,35.61267
0.03069,335.4679,0.00012,37.46152,0.00012,0.00609,0.00212,37.46152
0.03194,348.8894,0.00013,38.96029,0.00013,0.0064,0.00213,38.96029
0.034,366.17731,0.00014,40.89082,0.00014,0.00684,0.00214,40.89082
0.03594,388.35458,0.00015,43.36735,0.00015,0.00741,0.00215,43.36735
0.03725,402.30542,0.00016,44.92523,0.00016,0.00777,0.00216,44.92523
0.03856,412.89255,0.00016,46.10749,0.00016,0.00808,0.00216,46.10749
0.04069,435.1041,0.00017,48.58784,0.00017,0.00862,0.00217,48.58784
0.04237,450.52124,0.00018,50.30946,0.00018,0.009,0.00218,50.30946
0.04362,463.94528,0.00019,51.80852,0.00019,0.00936,0.00219,51.80852
0.04556,480.78159,0.0002,53.68862,0.0002,0.00979,0.0022,53.68862
0.04756,501.21518,0.00021,55.97043,0.00021,0.01034,0.00221,55.97043
0.04894,516.4176,0.00021,57.66808,0.00021,0.0107,0.00221,57.66808
0.05019,525.88922,0.00022,58.72577,0.00022,0.01099,0.00222,58.72577
0.05244,546.79761,0.00023,61.06059,0.00023,0.01152,0.00223,61.06059
0.05406,562.12915,0.00024,62.77266,0.00024,0.01197,0.00224,62.77266
0.05544,576.73529,0.00025,64.40372,0.00025,0.01233,0.00225,64.40372
0.05712,590.1897,0.00025,65.90617,0.00025,0.01265,0.00225,65.90617
0.05912,610.34949,0.00026,68.15739,0.00026,0.0132,0.00226,68.15739
0.06075,625.76379,0.00027,69.87871,0.00027,0.01361,0.00227,69.87871
0.06187,635.63068,0.00028,70.98054,0.00028,0.01388,0.00228,70.98054
0.06406,654.54047,0.00029,73.09218,0.00029,0.0144,0.00229,73.09218
0.06569,670.82214,0.0003,74.91035,0.0003,0.01479,0.0023,74.91035
0.06706,684.07159,0.0003,76.38991,0.0003,0.01516,0.0023,76.38991
0.06869,697.07007,0.00031,77.84144,0.00031,0.01549,0.00231,77.84144
0.07081,717.18304,0.00032,80.08744,0.00032,0.01602,0.00232,80.08744
0.07244,733.03522,0.00033,81.85764,0.00033,0.01645,0.00233,81.85764
0.07356,743.00079,0.00033,82.9705,0.00033,0.01672,0.00233,82.9705
0.07575,759.72906,0.00034,84.83853,0.00034,0.01715,0.00234,84.83853
0.07737,777.16125,0.00035,86.78518,0.00035,0.01763,0.00235,86.78518
0.07881,791.23236,0.00036,88.35649,0.00036,0.01802,0.00236,88.35649
0.08031,803.01575,0.00037,89.67233,0.00037,0.01828,0.00237,89.67233
0.0825,821.87402,0.00038,91.77823,0.00038,0.01882,0.00238,91.77823
0.08425,839.11169,0.00038,93.70315,0.00038,0.01924,0.00238,93.70315
0.08525,848.46344,0.00039,94.74745,0.00039,0.01947,0.00239,94.74745
0.08725,863.01758,0.0004,96.3727,0.0004,0.01988,0.0024,96.3727
0.089,881.57013,0.00041,98.44446,0.00041,0.02032,0.00241,98.44446
0.09056,895.97467,0.00041,100.05301,0.00041,0.02073,0.00241,100.05301
0.09194,906.99567,0.00042,101.28371,0.00042,0.02098,0.00242,101.28371
0.09406,925.19934,0.00043,103.31651,0.00043,0.02149,0.00243,103.31651
0.09587,942.24231,0.00044,105.21969,0.00044,0.0219,0.00244,105.21969
0.097,953.22485,0.00044,106.44611,0.00044,0.02221,0.00244,106.44611
0.09881,965.76086,0.00045,107.84599,0.00045,0.02256,0.00245,107.84599
0.10075,985.46826,0.00046,110.04671,0.00046,0.02306,0.00246,110.04671
0.10231,998.69354,0.00047,111.52357,0.00047,0.02344,0.00247,111.52357
0.10362,"1,009.57",0.00047,112.73803,0.00047,0.02372,0.00247,112.73803
0.10569,"1,026.74",0.00048,114.6553,0.00048,0.02416,0.00248,114.6553
0.10756,"1,044.49",0.00049,116.63755,0.00049,0.02462,0.00249,116.63755
0.10875,"1,056.13",0.0005,117.93725,0.0005,0.02498,0.0025,117.93725
0.11037,"1,066.98",0.0005,119.14938,0.0005,0.02523,0.0025,119.14938
0.11244,"1,086.90",0.00052,121.3737,0.00052,0.02577,0.00252,121.3737
0.114,"1,100.52",0.00052,122.89468,0.00052,0.02614,0.00252,122.89468
0.11525,"1,111.55",0.00053,124.12644,0.00053,0.02641,0.00253,124.12644
0.11731,"1,127.88",0.00054,125.94984,0.00054,0.02683,0.00254,125.94984
0.11925,"1,146.54",0.00055,128.03343,0.00055,0.02734,0.00255,128.03343
0.1205,"1,158.65",0.00055,129.38574,0.00055,0.02766,0.00255,129.38574
0.12187,"1,167.84",0.00056,130.4126,0.00056,0.02789,0.00256,130.4126
0.12406,"1,188.05",0.00057,132.66869,0.00057,0.02842,0.00257,132.66869
0.12569,"1,201.70",0.00058,134.19322,0.00058,0.02879,0.00258,134.19322
0.127,"1,213.82",0.00058,135.54695,0.00058,0.02909,0.00258,135.54695
0.12887,"1,226.70",0.00059,136.98448,0.00059,0.02945,0.00259,136.98448
0.13087,"1,245.49",0.0006,139.08324,0.0006,0.02996,0.0026,139.08324
0.13225,"1,259.81",0.00061,140.68236,0.00061,0.03027,0.00261,140.68236
0.1335,"1,268.48",0.00061,141.64996,0.00061,0.0305,0.00261,141.64996
0.13575,"1,287.12",0.00062,143.7321,0.00062,0.03104,0.00262,143.7321
0.13744,"1,301.74",0.00063,145.3647,0.00063,0.03141,0.00263,145.3647
0.13869,"1,314.23",0.00064,146.75961,0.00064,0.03176,0.00264,146.75961
0.14044,"1,325.88",0.00064,148.05984,0.00064,0.03206,0.00264,148.05984
0.1425,"1,345.65",0.00065,150.26761,0.00065,0.0326,0.00265,150.26761
0.14406,"1,359.97",0.00066,151.86728,0.00066,0.03297,0.00266,151.86728
0.14519,"1,368.23",0.00066,152.78954,0.00066,0.03319,0.00266,152.78954
0.14744,"1,385.93",0.00067,154.76587,0.00067,0.03365,0.00267,154.76587
0.14906,"1,400.59",0.00068,156.40358,0.00068,0.034,0.00268,156.40358
0.15044,"1,413.73",0.00069,157.87059,0.00069,0.03436,0.00269,157.87059
0.152,"1,424.44",0.00069,159.06598,0.00069,0.0347,0.00269,159.06598
0.15419,"1,443.76",0.0007,161.22403,0.0007,0.03516,0.0027,161.22403
0.15581,"1,458.56",0.00071,162.87712,0.00071,0.03559,0.00271,162.87712
0.15687,"1,466.42",0.00072,163.75417,0.00072,0.03576,0.00272,163.75417
0.15894,"1,481.78",0.00072,165.46951,0.00072,0.03619,0.00272,165.46951
0.16069,"1,498.52",0.00073,167.3385,0.00073,0.03661,0.00273,167.3385
0.16219,"1,512.24",0.00074,168.87082,0.00074,0.03701,0.00274,168.87082
0.16369,"1,522.51",0.00075,170.01807,0.00075,0.03729,0.00275,170.01807
0.16587,"1,541.38",0.00076,172.12485,0.00076,0.03778,0.00276,172.12485
0.1675,"1,556.25",0.00076,173.78587,0.00076,0.03813,0.00276,173.78587
0.16856,"1,564.67",0.00077,174.72606,0.00077,0.03837,0.00277,174.72606
0.1705,"1,578.18",0.00077,176.23486,0.00077,0.03874,0.00277,176.23486
0.17237,"1,595.95",0.00078,178.21942,0.00078,0.0392,0.00278,178.21942
0.17394,"1,609.59",0.00079,179.74174,0.00079,0.03955,0.00279,179.74174
0.17531,"1,619.61",0.0008,180.8615,0.0008,0.0398,0.0028,180.8615
0.17744,"1,637.22",0.00081,182.82719,0.00081,0.04027,0.00281,182.82719
0.17919,"1,652.59",0.00081,184.54398,0.00081,0.04067,0.00281,184.54398
0.18031,"1,663.13",0.00082,185.72054,0.00082,0.04094,0.00282,185.72054
0.18206,"1,674.07",0.00083,186.94287,0.00083,0.04125,0.00283,186.94287
0.184,"1,692.42",0.00084,188.99167,0.00084,0.04176,0.00284,188.99167
0.18562,"1,705.97",0.00084,190.50433,0.00084,0.04214,0.00284,190.50433
0.18694,"1,716.50",0.00085,191.68051,0.00085,0.04237,0.00285,191.68051
0.18906,"1,732.19",0.00086,193.43246,0.00086,0.04277,0.00286,193.43246
0.19094,"1,749.06",0.00086,195.31619,0.00086,0.04323,0.00286,195.31619
0.19212,"1,759.62",0.00087,196.49532,0.00087,0.0435,0.00287,196.49532
0.19362,"1,769.91",0.00087,197.64537,0.00087,0.04373,0.00287,197.64537
0.19569,"1,788.42",0.00088,199.71167,0.00088,0.04425,0.00288,199.71167
0.19737,"1,801.37",0.00089,201.15848,0.00089,0.04461,0.00289,201.15848
0.19869,"1,811.64",0.0009,202.30519,0.0009,0.0449,0.0029,202.30519
0.20069,"1,826.49",0.00091,203.96265,0.00091,0.04532,0.00291,203.96265
0.20256,"1,844.51",0.00092,205.97554,0.00092,0.04576,0.00292,205.97554
0.20381,"1,855.11",0.00092,207.15967,0.00092,0.04604,0.00292,207.15967
0.20519,"1,863.87",0.00093,208.13754,0.00093,0.0463,0.00293,208.13754
0.20737,"1,882.09",0.00094,210.17239,0.00094,0.04679,0.00294,210.17239
0.20906,"1,896.70",0.00094,211.80379,0.00094,0.04714,0.00294,211.80379
0.21037,"1,906.60",0.00095,212.90944,0.00095,0.04744,0.00295,212.90944
0.21219,"1,920.08",0.00096,214.41394,0.00096,0.04779,0.00296,214.41394
0.21419,"1,938.10",0.00096,216.42653,0.00096,0.04823,0.00296,216.42653
0.21562,"1,951.44",0.00097,217.91644,0.00097,0.04857,0.00297,217.91644
0.21687,"1,958.93",0.00098,218.75301,0.00098,0.04878,0.00298,218.75301
0.21906,"1,976.55",0.00098,220.71994,0.00098,0.04923,0.00298,220.71994
0.22069,"1,990.35",0.00099,222.26175,0.00099,0.04957,0.00299,222.26175
0.222,"2,002.05",0.001,223.56805,0.001,0.0499,0.003,223.56805
0.22375,"2,012.76",0.001,224.76433,0.001,0.05019,0.003,224.76433
0.22594,"2,032.38",0.00101,226.95511,0.00101,0.0507,0.00301,226.95511
0.22744,"2,045.81",0.00102,228.45496,0.00102,0.05104,0.00302,228.45496
0.22856,"2,053.09",0.00102,229.26692,0.00102,0.05122,0.00302,229.26692
0.23062,"2,068.76",0.00103,231.0172,0.00103,0.05161,0.00303,231.0172
0.23231,"2,082.85",0.00104,232.59042,0.00104,0.05199,0.00304,232.59042
0.23375,"2,095.80",0.00105,234.03656,0.00105,0.05233,0.00305,234.03656
0.23537,"2,106.46",0.00105,235.22702,0.00105,0.05265,0.00305,235.22702
0.23756,"2,124.88",0.00106,237.28462,0.00106,0.05311,0.00306,237.28462
0.23919,"2,138.19",0.00107,238.77049,0.00107,0.05347,0.00307,238.77049
0.24019,"2,145.94",0.00107,239.63614,0.00107,0.05365,0.00307,239.63614
0.24225,"2,159.53",0.00108,241.15363,0.00108,0.05398,0.00308,241.15363
0.24406,"2,176.93",0.00109,243.09711,0.00109,0.05449,0.00309,243.09711
0.24544,"2,188.14",0.0011,244.34859,0.0011,0.05477,0.0031,244.34859
0.247,"2,198.93",0.0011,245.55356,0.0011,0.05509,0.0031,245.55356
0.24919,"2,216.18",0.00111,247.47945,0.00111,0.05553,0.00311,247.47945
0.25087,"2,230.42",0.00112,249.06995,0.00112,0.05593,0.00312,249.06995
0.25194,"2,238.74",0.00112,249.99837,0.00112,0.05616,0.00312,249.99837
0.25381,"2,250.06",0.00113,251.26308,0.00113,0.05645,0.00313,251.26308
0.25569,"2,268.67",0.00114,253.34125,0.00114,0.05694,0.00314,253.34125
0.25719,"2,280.15",0.00114,254.62355,0.00114,0.05724,0.00314,254.62355
0.25856,"2,289.93",0.00115,255.71486,0.00115,0.05751,0.00315,255.71486
0.26081,"2,306.41",0.00116,257.55521,0.00116,0.05795,0.00316,257.55521
0.26262,"2,322.08",0.00117,259.30518,0.00117,0.05835,0.00317,259.30518
0.26375,"2,331.01",0.00117,260.30267,0.00117,0.05861,0.00317,260.30267
0.26537,"2,341.03",0.00118,261.4212,0.00118,0.05883,0.00318,261.4212
0.26731,"2,359.37",0.00119,263.46973,0.00119,0.05933,0.00319,263.46973
0.26894,"2,371.28",0.00119,264.79947,0.00119,0.05965,0.00319,264.79947
0.27031,"2,381.23",0.0012,265.91071,0.0012,0.05995,0.0032,265.91071
0.27244,"2,397.31",0.00121,267.70667,0.00121,0.06036,0.00321,267.70667
0.27431,"2,412.78",0.00122,269.43369,0.00122,0.06076,0.00322,269.43369
0.27544,"2,422.24",0.00122,270.49017,0.00122,0.061,0.00322,270.49017
0.27687,"2,430.54",0.00122,271.41656,0.00122,0.06122,0.00322,271.41656
0.27906,"2,449.84",0.00123,273.5722,0.00123,0.0617,0.00323,273.5722
0.28069,"2,461.39",0.00124,274.86224,0.00124,0.06203,0.00324,274.86224
0.282,"2,470.93",0.00125,275.9278,0.00125,0.06228,0.00325,275.9278
0.28394,"2,485.35",0.00125,277.53741,0.00125,0.06265,0.00325,277.53741
0.28587,"2,501.63",0.00126,279.35583,0.00126,0.06307,0.00326,279.35583
0.28725,"2,512.76",0.00127,280.59845,0.00127,0.06333,0.00327,280.59845
0.28856,"2,520.27",0.00127,281.43762,0.00127,0.06355,0.00327,281.43762
0.29075,"2,538.85",0.00128,283.51178,0.00128,0.06405,0.00328,283.51178
0.29231,"2,550.19",0.00129,284.77805,0.00129,0.06433,0.00329,284.77805
0.29362,"2,560.21",0.00129,285.89755,0.00129,0.06459,0.00329,285.89755
0.29556,"2,573.71",0.0013,287.40445,0.0013,0.065,0.0033,287.40445
0.29756,"2,591.03",0.00131,289.33896,0.00131,0.0654,0.00331,289.33896
0.299,"2,602.39",0.00131,290.60739,0.00131,0.06572,0.00331,290.60739
0.30019,"2,608.93",0.00132,291.33829,0.00132,0.06591,0.00332,291.33829
0.30244,"2,626.66",0.00133,293.31738,0.00133,0.06636,0.00333,293.31738
0.304,"2,638.26",0.00133,294.6127,0.00133,0.06669,0.00333,294.6127
0.30544,"2,649.84",0.00134,295.90634,0.00134,0.06696,0.00334,295.90634
0.30712,"2,661.02",0.00135,297.15515,0.00135,0.06726,0.00335,297.15515
0.30912,"2,677.18",0.00135,298.95941,0.00135,0.06772,0.00335,298.95941
0.31069,"2,690.00",0.00136,300.3905,0.00136,0.06803,0.00336,300.3905
0.31181,"2,696.63",0.00136,301.13147,0.00136,0.0682,0.00336,301.13147
0.31412,"2,713.34",0.00137,302.99756,0.00137,0.06862,0.00337,302.99756
0.31569,"2,726.78",0.00138,304.49783,0.00138,0.06898,0.00338,304.49783
0.31706,"2,736.92",0.00139,305.63004,0.00139,0.06926,0.00339,305.63004
0.31869,"2,747.15",0.00139,306.77292,0.00139,0.06951,0.00339,306.77292
0.32081,"2,763.51",0.0014,308.59952,0.0014,0.06998,0.0034,308.59952
0.32244,"2,776.99",0.00141,310.10446,0.00141,0.07032,0.00341,310.10446
0.32356,"2,783.77",0.00141,310.86258,0.00141,0.07049,0.00341,310.86258
0.32575,"2,798.74",0.00142,312.53394,0.00142,0.07089,0.00342,312.53394
0.32744,"2,813.20",0.00142,314.14819,0.00142,0.07125,0.00342,314.14819
0.32881,"2,823.49",0.00143,315.29764,0.00143,0.07152,0.00343,315.29764
0.33031,"2,832.72",0.00144,316.32779,0.00144,0.0718,0.00344,316.32779
0.33244,"2,848.72",0.00144,318.11447,0.00144,0.07223,0.00344,318.11447
0.33425,"2,863.84",0.00145,319.80362,0.00145,0.07257,0.00345,319.80362
0.33525,"2,870.17",0.00145,320.51007,0.00145,0.07271,0.00345,320.51007
0.33725,"2,882.80",0.00146,321.92126,0.00146,0.07307,0.00346,321.92126
0.339,"2,898.09",0.00147,323.62784,0.00147,0.0735,0.00347,323.62784
0.34056,"2,909.07",0.00148,324.85425,0.00148,0.07379,0.00348,324.85425
0.34194,"2,918.45",0.00148,325.90121,0.00148,0.07402,0.00348,325.90121
0.34412,"2,933.76",0.00149,327.61139,0.00149,0.07445,0.00349,327.61139
0.34587,"2,947.78",0.0015,329.17688,0.0015,0.07487,0.0035,329.17688
0.347,"2,955.52",0.0015,330.04144,0.0015,0.07503,0.0035,330.04144
0.34875,"2,965.36",0.00151,331.14011,0.00151,0.0753,0.00351,331.14011
0.35075,"2,983.78",0.00152,333.19733,0.00152,0.07577,0.00352,333.19733
0.35231,"2,994.49",0.00152,334.39285,0.00152,0.07604,0.00352,334.39285
0.35362,"3,003.09",0.00153,335.3533,0.00153,0.07627,0.00353,335.3533
0.35569,"3,016.96",0.00153,336.90228,0.00153,0.07663,0.00353,336.90228
0.35756,"3,031.41",0.00154,338.51569,0.00154,0.07702,0.00354,338.51569
0.35875,"3,040.99",0.00155,339.58551,0.00155,0.07729,0.00355,339.58551
0.36037,"3,049.73",0.00155,340.56177,0.00155,0.07755,0.00355,340.56177
0.36244,"3,066.87",0.00156,342.47546,0.00156,0.07793,0.00356,342.47546
0.364,"3,077.31",0.00157,343.64191,0.00157,0.07827,0.00357,343.64191
0.36525,"3,085.77",0.00157,344.58615,0.00157,0.07843,0.00357,344.58615
0.36725,"3,099.30",0.00158,346.09683,0.00158,0.07882,0.00358,346.09683
0.36925,"3,114.87",0.00158,347.83612,0.00158,0.07923,0.00358,347.83612
0.3705,"3,125.12",0.00159,348.98074,0.00159,0.07953,0.00359,348.98074
0.37194,"3,132.08",0.00159,349.75763,0.00159,0.07971,0.00359,349.75763
0.37406,"3,149.35",0.0016,351.6857,0.0016,0.08011,0.0036,351.6857
0.37569,"3,160.15",0.00161,352.89252,0.00161,0.08042,0.00361,352.89252
0.377,"3,170.34",0.00161,354.0303,0.00161,0.08066,0.00361,354.0303
0.37887,"3,181.41",0.00162,355.2666,0.00162,0.08098,0.00362,355.2666
0.38087,"3,197.74",0.00163,357.09006,0.00163,0.08137,0.00363,357.09006
0.38225,"3,208.68",0.00163,358.31201,0.00163,0.08163,0.00363,358.31201
0.3835,"3,214.79",0.00164,358.99356,0.00164,0.08181,0.00364,358.99356
0.38575,"3,231.65",0.00165,360.87656,0.00165,0.08231,0.00365,360.87656
0.38737,"3,243.01",0.00165,362.14493,0.00165,0.08257,0.00365,362.14493
0.38875,"3,252.95",0.00166,363.25565,0.00166,0.08283,0.00366,363.25565
0.39044,"3,263.05",0.00166,364.38315,0.00166,0.08309,0.00366,364.38315
0.39244,"3,279.08",0.00167,366.17361,0.00167,0.0835,0.00367,366.17361
0.39406,"3,291.43",0.00168,367.55249,0.00168,0.08385,0.00368,367.55249
0.39519,"3,297.02",0.00168,368.17633,0.00168,0.08401,0.00368,368.17633
0.39744,"3,312.73",0.00169,369.93097,0.00169,0.08443,0.00369,369.93097
0.39906,"3,325.09",0.00169,371.31067,0.00169,0.08474,0.00369,371.31067
0.40044,"3,334.96",0.0017,372.41302,0.0017,0.08501,0.0037,372.41302
0.402,"3,343.66",0.0017,373.38492,0.0017,0.08525,0.0037,373.38492
0.40412,"3,359.99",0.00171,375.2085,0.00171,0.08568,0.00371,375.2085
0.40581,"3,372.28",0.00172,376.58084,0.00172,0.08606,0.00372,376.58084
0.40687,"3,378.33",0.00172,377.2561,0.00172,0.0862,0.00372,377.2561
0.409,"3,391.53",0.00173,378.72986,0.00173,0.08655,0.00373,378.72986
0.41075,"3,406.20",0.00174,380.36807,0.00174,0.08689,0.00374,380.36807
0.41219,"3,416.00",0.00174,381.46234,0.00174,0.08721,0.00374,381.46234
0.41369,"3,424.50",0.00175,382.41199,0.00175,0.08743,0.00375,382.41199
0.41581,"3,440.42",0.00176,384.18945,0.00176,0.08785,0.00376,384.18945
0.4175,"3,452.50",0.00176,385.53848,0.00176,0.0882,0.00376,385.53848
0.41856,"3,458.85",0.00177,386.2475,0.00177,0.08835,0.00377,386.2475
0.4205,"3,469.84",0.00177,387.47504,0.00177,0.08863,0.00377,387.47504
0.42231,"3,485.24",0.00178,389.19485,0.00178,0.08908,0.00378,389.19485
0.424,"3,496.39",0.00179,390.44006,0.00179,0.08935,0.00379,390.44006
0.42531,"3,504.11",0.00179,391.30161,0.00179,0.08955,0.00379,391.30161
0.42744,"3,517.97",0.0018,392.84946,0.0018,0.08992,0.0038,392.84946
0.42919,"3,530.33",0.0018,394.23032,0.0018,0.09024,0.0038,394.23032
0.43031,"3,538.02",0.00181,395.08865,0.00181,0.0905,0.00381,395.08865
0.43206,"3,546.97",0.00181,396.08859,0.00181,0.09067,0.00381,396.08859
0.434,"3,562.09",0.00182,397.77707,0.00182,0.09109,0.00382,397.77707
0.43569,"3,572.89",0.00183,398.98322,0.00183,0.09139,0.00383,398.98322
0.43694,"3,580.61",0.00183,399.84464,0.00183,0.0916,0.00383,399.84464
0.43906,"3,593.94",0.00184,401.33371,0.00184,0.09192,0.00384,401.33371
0.44087,"3,608.06",0.00185,402.91052,0.00185,0.09227,0.00385,402.91052
0.44212,"3,616.84",0.00185,403.89011,0.00185,0.09251,0.00385,403.89011
0.44362,"3,623.88",0.00185,404.67642,0.00185,0.09272,0.00385,404.67642
0.44569,"3,640.21",0.00186,406.49985,0.00186,0.09313,0.00386,406.49985
0.44731,"3,650.04",0.00187,407.59756,0.00187,0.0934,0.00387,407.59756
0.44869,"3,659.06",0.00187,408.60541,0.00187,0.09361,0.00387,408.60541
0.45062,"3,670.77",0.00188,409.91342,0.00188,0.09396,0.00388,409.91342
0.45256,"3,684.80",0.00189,411.47971,0.00189,0.09431,0.00389,411.47971
0.45387,"3,694.50",0.00189,412.56235,0.00189,0.09456,0.00389,412.56235
0.45519,"3,700.20",0.00189,413.19937,0.00189,0.09466,0.00389,413.19937
0.45744,"3,716.60",0.0019,415.03033,0.0019,0.09512,0.0039,415.03033
0.45906,"3,728.00",0.00191,416.3038,0.00191,0.09541,0.00391,416.3038
0.46037,"3,735.74",0.00191,417.16837,0.00191,0.09565,0.00391,417.16837
0.46219,"3,746.94",0.00192,418.4187,0.00192,0.09593,0.00392,418.4187
0.46419,"3,761.84",0.00193,420.08319,0.00193,0.09637,0.00393,420.08319
0.46569,"3,772.36",0.00193,421.25745,0.00193,0.09665,0.00393,421.25745
0.46687,"3,778.04",0.00194,421.89148,0.00194,0.09678,0.00394,421.89148
0.46906,"3,792.89",0.00194,423.5499,0.00194,0.09715,0.00394,423.5499
0.47069,"3,804.10",0.00195,424.80194,0.00195,0.09749,0.00395,424.80194
0.472,"3,813.98",0.00195,425.90561,0.00195,0.09772,0.00395,425.90561
0.47369,"3,823.11",0.00196,426.92505,0.00196,0.09798,0.00396,426.92505
0.47587,"3,839.23",0.00197,428.72421,0.00197,0.0984,0.00397,428.72421
0.4775,"3,850.18",0.00197,429.94711,0.00197,0.09869,0.00397,429.94711
0.47856,"3,855.41",0.00198,430.53174,0.00198,0.09883,0.00398,430.53174
0.48062,"3,868.68",0.00198,432.01306,0.00198,0.09922,0.00398,432.01306
0.48231,"3,880.85",0.00199,433.3721,0.00199,0.09948,0.00399,433.3721
0.48375,"3,891.06",0.002,434.51291,0.002,0.09979,0.004,434.51291
0.48537,"3,899.37",0.002,435.44052,0.002,0.09999,0.004,435.44052
0.48756,"3,915.89",0.00201,437.28506,0.00201,0.10043,0.00401,437.28506
0.48919,"3,926.86",0.00201,438.51089,0.00201,0.10074,0.00401,438.51089
0.49019,"3,932.37",0.00202,439.12549,0.00202,0.10091,0.00402,439.12549
0.49225,"3,944.55",0.00202,440.48575,0.00202,0.10119,0.00402,440.48575
